 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,IT hardware,1 KVA Online UPS,Betterpower,310022011C816220169,18050402804
KYAN,IT hardware,2 KVA Online UPS,Betterpower,310022011M1076440729,18050400711
KYAN,IT hardware,3 KVA Online UPS,Betterpower,310022011M1076440716,18050411903
KYAN,IT hardware,4 KVA Online UPS,Betterpower,310022011M1076440730,18240401901
KYAN,IT hardware,5 KVA Online UPS,Betterpower,310022011C816220127,18050610705
KYAN,IT hardware,6 KVA Online UPS,Betterpower,310022011C816220173,18050606402
KYAN,IT hardware,7 KVA Online UPS,Betterpower,310022011M1076440732,18050210403
KYAN,IT hardware,8 KVA Online UPS,Betterpower,310022011C816220125,18050210304
KYAN,IT hardware,9 KVA Online UPS,Betterpower,310022011M1076440707,18050207805
KYAN,IT hardware,10 KVA Online UPS,Betterpower,310022011C816220157,18050514403
KYAN,IT hardware,11 KVA Online UPS,Betterpower,310022011C816220094,18050510404
KYAN,IT hardware,12 KVA Online UPS,Betterpower,310022011M1076440625,18050104925
KYAN,IT hardware,13 KVA Online UPS,Betterpower,310022011C816220163,18050112704
KYAN,IT hardware,14 KVA Online UPS,Betterpower,310022011C816220170,18050304001
KYAN,IT hardware,15 KVA Online UPS,Betterpower,310022011C816220146,18050306106
KYAN,IT hardware,16 KVA Online UPS,Betterpower,310022011C816220028,18280603602
KYAN,IT hardware,17 KVA Online UPS,Betterpower,310022011C816220001,18280603203
KYAN,IT hardware,18 KVA Online UPS,Betterpower,310022011C816220018,18280527901
KYAN,IT hardware,19 KVA Online UPS,Betterpower,310022011M1076440712,18280733902
KYAN,IT hardware,20 KVA Online UPS,Betterpower,310022011M1076440610,18040416108
KYAN,IT hardware,21 KVA Online UPS,Betterpower,310022011M1076440585,18040306801
KYAN,IT hardware,22 KVA Online UPS,Betterpower,310022011M1076440797,18040305602
KYAN,IT hardware,23 KVA Online UPS,Betterpower,310022011M1076440695,18210106902
KYAN,IT hardware,24 KVA Online UPS,Betterpower,310022011C816220032,18210111601
KYAN,IT hardware,25 KVA Online UPS,Betterpower,310022011C816220107,18210111805
KYAN,IT hardware,26 KVA Online UPS,Betterpower,310022011C816220021,18210132902
KYAN,IT hardware,27 KVA Online UPS,Betterpower,310022011M1076440760,18210215505
KYAN,IT hardware,28 KVA Online UPS,Betterpower,310022011C816220049,18210312402
KYAN,IT hardware,29 KVA Online UPS,Betterpower,310022011C816220111,18210410006
KYAN,IT hardware,30 KVA Online UPS,Betterpower,310022011C816220109,18210410605
KYAN,IT hardware,31 KVA Online UPS,Betterpower,310022011C816220045,18210614403
KYAN,IT hardware,32 KVA Online UPS,Betterpower,310022011C816220067,18210709001
KYAN,IT hardware,33 KVA Online UPS,Betterpower,310022011C816220057,18210725701
KYAN,IT hardware,34 KVA Online UPS,Betterpower,310022011C816220064,18290111107
KYAN,IT hardware,35 KVA Online UPS,Betterpower,310022011M1076440689,18080315003
KYAN,IT hardware,36 KVA Online UPS,Betterpower,310022011M1076440795,18080306204
KYAN,IT hardware,37 KVA Online UPS,Betterpower,310022011M1076440626,18080303304
KYAN,IT hardware,38 KVA Online UPS,Betterpower,310022011M1076440636,18080213504
KYAN,IT hardware,39 KVA Online UPS,Betterpower,310022011C816220158,18080213802
KYAN,IT hardware,40 KVA Online UPS,Betterpower,310022011M1076440611,18080221604
