 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003884,18050409004
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E23071002748200251,18050402504
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482002188,18050201708
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005547,18050417504
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276004241,18050411813
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003994,18050407605
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482000081,18050204205
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482000883,18050400108
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482001720,18050402204
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005759,18050416802
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005670,18050403908
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2000425,18050400509
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482000178,18050408205
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482000367,18050416602
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276003242,18050200708
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482001172,18050713703
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003540,18050406710
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003988,18050405303
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003973,18050414502
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003921,18050409702
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2001078,18050418306
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B274001096,18050412105
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005620,18050702310
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482001774,18050408404
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005608,18050402703
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2002733,18050404804
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005724,18050418102
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003971,18050408902
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2004002,18050401703
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2004020,18050403805
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003943,18050415513
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003795,18050201305
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2002291,18050406402
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482001646,18050401302
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W20035443,18050200306
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2004009,18050401403
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2004003,18050404805
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482001122,18050702809
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482000691,18050406504
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B276005731,18050201711
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2003789,18050409303
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,222B0W2001389,18050402207
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482000723,18050400710
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482002484,18050202008
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482002239,18050412304
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482002849,18050408002
IFP,IT hardware,Wi-Fi Router,RACOMM/TP LINK,E230710027482002654,18050400713
