 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319280,18200204703
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318797,18200212701
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318812,18200205802
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318776,18200203601
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318953,18200311409
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319334,18200302005
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318570,18200316002
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318629,18200308401
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318624,18200612002
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318604,18200504910
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318927,18030422402
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319259,18030414203
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318876,18030220201
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319238,18030204102
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318951,18030218202
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318745,18030221801
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318703,18030207702
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319306,18030221504
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318591,18030100503
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318824,18030109701
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319243,18180111408
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318719,18180104502
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318907,18180109202
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318903,18180109305
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318867,18180109706
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319313,18180110505
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318612,18180100602
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318761,18180108208
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318692,18180109205
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319302,18180104002
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318902,18180232303
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319234,18180229203
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318605,18180200404
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318934,18180230502
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318901,18180226002
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318633,18180211004
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319310,18180221903
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318689,18180205607
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318779,18180218904
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319304,18180241104
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319256,18180245901
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318799,18180230804
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318623,18180230202
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319323,18180208705
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319269,18180217103
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318846,18180208807
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318785,18180242505
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318874,18180249302
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318764,18180301004
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318807,18180312003
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319273,18180301007
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318683,18180411702
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318638,18180409801
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318820,18180404003
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319254,18180401201
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319279,18180400204
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318954,18180406206
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318886,18180400213
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318819,18180400203
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318735,18180400212
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318556,18180405012
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318863,18180402803
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318844,18230122901
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318967,18230118404
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318756,18230105907
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318710,18230121601
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319224,18230104103
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319228,18230207609
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318593,18230317001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319283,18230305427
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318608,18300319404
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318594,18170108901
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319240,18170211101
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319324,18170219606
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318762,18170326102
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318696,18170305513
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319249,18170310202
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318958,18170316201
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318834,18170316902
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319311,18170307907
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318622,18170502005
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318743,18170502405
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318553,18170515002
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318823,18170604007
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318586,18170617402
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318559,18271100543
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318833,18271102619
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318741,18271100828
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318840,18271100536
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318856,18271101736
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318763,18060201104
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319314,18060210701
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318583,18060203303
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319316,18060210402
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319221,18060322105
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318825,18060505405
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319267,18060706102
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319277,18060606102
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318661,18061005508
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318798,18061001001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318579,18060907908
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318950,18190206203
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319274,18190215201
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318966,18190203504
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318866,18190202904
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319318,18190210012
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318684,18190208319
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318742,18190202603
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318957,18190422001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318896,18190421905
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318837,18190416903
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318920,18190414404
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318862,18190415204
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319285,18190408603
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318595,18190412003
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319290,18190403304
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318596,18190408605
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319322,18190412702
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319257,18190407603
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319244,18190407307
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318809,18190421601
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319336,18190421402
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319305,18190516801
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318690,18190501503
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318577,18190517001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319272,18190519501
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318899,18190507802
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318818,18190505302
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318680,18190501407
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319233,18190517101
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318904,18190601238
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318786,18190606302
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318817,18190917909
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319275,18190906202
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318694,18220204504
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319289,18220319002
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318931,18220323305
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318589,18220310303
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319258,18220310021
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318849,18220334304
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318942,18220314208
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318607,18220409307
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319330,18220500101
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318845,18220521106
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318759,18120202907
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318551,18120405912
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319307,18120406215
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318567,18120416008
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318948,18120516615
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318952,18120518504
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2318905,18120505001
KYAN,IT hardware,K-Yan,School Net,KPIVQ4WC2319299,18120516107
KYAN,IT hardware,K-Yan,School Net,KPIVQ4W2318610,18120500107
