 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_001,18050402804
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_002,18050400711
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_003,18050411903
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_004,18240401901
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_005,18050610705
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_006,18050606402
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_007,18050210403
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_008,18050210304
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_009,18050207805
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_010,18050514403
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_011,18050510404
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_012,18050104925
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_013,18050112704
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_014,18050304001
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_015,18050306106
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_016,18280603602
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_017,18280603203
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_018,18280527901
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_019,18280733902
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_020,18040416108
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_021,18040306801
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_022,18040305602
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_023,18210106902
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_024,18210111601
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_025,18210111805
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_026,18210132902
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_027,18210215505
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_028,18210312402
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_029,18210410006
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_030,18210410605
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_031,18210614403
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_032,18210709001
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_033,18210725701
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_034,18290111107
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_035,18080315003
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_036,18080306204
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_037,18080303304
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_038,18080213504
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_039,18080213802
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_040,18080221604
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_041,18080221103
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_042,18080206204
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_043,18080206305
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_044,18080113901
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_045,18080104504
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_046,18080108303
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_047,18130108901
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_048,18130243902
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_049,18130208402
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_050,18130206902
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_051,18130201702
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_052,18130251502
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_053,18130253502
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_054,18130288503
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_055,18130237002
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_056,18130246001
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_057,18020203102
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_058,18020207505
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_059,18020417302
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_060,18020401907
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_061,18020422103
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_062,18020422604
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_063,18020401902
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_064,18020334605
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_065,18020333009
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_066,18020315403
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_067,18020338903
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_068,18020317001
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_069,18020332703
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_070,18020334608
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_071,18020336002
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_072,18020339402
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_073,18020332702
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_074,18020300206
KYAN,NON-IT,Metal Rack for Batteries,Metal Rack,MRB_075,18020338409
