 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,Network,SIM,Airtel,8991922305930597125U,18050402804
KYAN,Network,SIM,Airtel,8991922305930597117U,18050400711
KYAN,Network,SIM,Airtel,8991922305930597109U,18050411903
KYAN,Network,SIM,Airtel,8991922305930597091U,18240401901
KYAN,Network,SIM,Airtel,8991922305930597042U,18050610705
KYAN,Network,SIM,Airtel,8991922305930597034U,18050606402
KYAN,Network,SIM,Airtel,8991922305930597067U,18050210403
KYAN,Network,SIM,Airtel,8991922305930597083U,18050210304
KYAN,Network,SIM,Airtel,8991922305930596994U,18050207805
KYAN,Network,SIM,Airtel,8991922305930597059U,18050514403
KYAN,Network,SIM,Airtel,8991922305930589924U,18050510404
KYAN,Network,SIM,Airtel,8991922305930589916U,18050104925
KYAN,Network,SIM,Airtel,8991922305930596978U,18050112704
KYAN,Network,SIM,Airtel,8991922305930597000U,18050304001
KYAN,Network,SIM,Airtel,8991922305930596986U,18050306106
KYAN,Network,SIM,Airtel,8991922305930589908U,18280603602
KYAN,Network,SIM,Airtel,8991922305930589890U,18280603203
KYAN,Network,SIM,Airtel,8991922305930596770U,18280527901
KYAN,Network,SIM,Airtel,8991922305930596788U,18280733902
KYAN,Network,SIM,Airtel,8991922305930589148U,18040416108
KYAN,Network,SIM,Airtel,8991922305930596812U,18040306801
KYAN,Network,SIM,Airtel,8991922305930596820U,18040305602
KYAN,Network,SIM,Airtel,8991922305930589874U,18210106902
KYAN,Network,SIM,Airtel,8991922305930596838U,18210111601
KYAN,Network,SIM,Airtel,8991922305930596853U,18210111805
KYAN,Network,SIM,Airtel,8991922305930596929U,18210132902
KYAN,Network,SIM,Airtel,8991922305930589882U,18210215505
KYAN,Network,SIM,Airtel,8991922305930596887U,18210312402
KYAN,Network,SIM,Airtel,8991922305930597240U,18210410006
KYAN,Network,SIM,Airtel,8991922305930596937U,18210410605
KYAN,Network,SIM,Airtel,8991922305930596796U,18210614403
KYAN,Network,SIM,Airtel,8991922305930596895U,18210709001
KYAN,Network,SIM,Airtel,8991922305930596861U,18210725701
KYAN,Network,SIM,Airtel,8991922305930597257U,18290111107
KYAN,Network,SIM,Airtel,8991922305930590088U,18080315003
KYAN,Network,SIM,Airtel,8991922305930590096U,18080306204
KYAN,Network,SIM,Airtel,8991922305930590203U,18080303304
KYAN,Network,SIM,Airtel,8991922305930590138U,18080213504
KYAN,Network,SIM,Airtel,8991922305930597158U,18080213802
KYAN,Network,SIM,Airtel,8991922305930590104U,18080221604
KYAN,Network,SIM,Airtel,8991922305930590229U,18080221103
KYAN,Network,SIM,Airtel,8991922305930590054U,18080206204
KYAN,Network,SIM,Airtel,8991922305930590161U,18080206305
KYAN,Network,SIM,Airtel,8991922305930590179U,18080113901
KYAN,Network,SIM,Airtel,8991922305930625025U,18080104504
KYAN,Network,SIM,Airtel,8991922305930589056U,18080108303
KYAN,Network,SIM,Airtel,8991922305930598107U,18130108901
KYAN,Network,SIM,Airtel,8991922305930598073U,18130243902
KYAN,Network,SIM,Airtel,8991922305930598115U,18130208402
KYAN,Network,SIM,Airtel,8991922305930598131U,18130206902
KYAN,Network,SIM,Airtel,8991922305930598123U,18130201702
KYAN,Network,SIM,Airtel,8991922305930597166U,18130251502
KYAN,Network,SIM,Airtel,8991922305930597190U,18130253502
KYAN,Network,SIM,Airtel,8991922305930598149U,18130288503
KYAN,Network,SIM,Airtel,8991922305930598099U,18130237002
KYAN,Network,SIM,Airtel,8991922305930597232U,18130246001
KYAN,Network,SIM,Airtel,8991922305930597745U,18020203102
KYAN,Network,SIM,Airtel,8991922305930597711U,18020207505
KYAN,Network,SIM,Airtel,8991922305930597737U,18020417302
