 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,NON-IT,Trolley Bag,School Net,TB_001,18050402804
KYAN,NON-IT,Trolley Bag,School Net,TB_002,18050400711
KYAN,NON-IT,Trolley Bag,School Net,TB_003,18050411903
KYAN,NON-IT,Trolley Bag,School Net,TB_004,18240401901
KYAN,NON-IT,Trolley Bag,School Net,TB_005,18050610705
KYAN,NON-IT,Trolley Bag,School Net,TB_006,18050606402
KYAN,NON-IT,Trolley Bag,School Net,TB_007,18050210403
KYAN,NON-IT,Trolley Bag,School Net,TB_008,18050210304
KYAN,NON-IT,Trolley Bag,School Net,TB_009,18050207805
KYAN,NON-IT,Trolley Bag,School Net,TB_010,18050514403
KYAN,NON-IT,Trolley Bag,School Net,TB_011,18050510404
KYAN,NON-IT,Trolley Bag,School Net,TB_012,18050104925
KYAN,NON-IT,Trolley Bag,School Net,TB_013,18050112704
KYAN,NON-IT,Trolley Bag,School Net,TB_014,18050304001
KYAN,NON-IT,Trolley Bag,School Net,TB_015,18050306106
KYAN,NON-IT,Trolley Bag,School Net,TB_016,18280603602
KYAN,NON-IT,Trolley Bag,School Net,TB_017,18280603203
KYAN,NON-IT,Trolley Bag,School Net,TB_018,18280527901
KYAN,NON-IT,Trolley Bag,School Net,TB_019,18280733902
KYAN,NON-IT,Trolley Bag,School Net,TB_020,18040416108
KYAN,NON-IT,Trolley Bag,School Net,TB_021,18040306801
KYAN,NON-IT,Trolley Bag,School Net,TB_022,18040305602
KYAN,NON-IT,Trolley Bag,School Net,TB_023,18210106902
KYAN,NON-IT,Trolley Bag,School Net,TB_024,18210111601
KYAN,NON-IT,Trolley Bag,School Net,TB_025,18210111805
KYAN,NON-IT,Trolley Bag,School Net,TB_026,18210132902
KYAN,NON-IT,Trolley Bag,School Net,TB_027,18210215505
KYAN,NON-IT,Trolley Bag,School Net,TB_028,18210312402
KYAN,NON-IT,Trolley Bag,School Net,TB_029,18210410006
KYAN,NON-IT,Trolley Bag,School Net,TB_030,18210410605
KYAN,NON-IT,Trolley Bag,School Net,TB_031,18210614403
KYAN,NON-IT,Trolley Bag,School Net,TB_032,18210709001
KYAN,NON-IT,Trolley Bag,School Net,TB_033,18210725701
KYAN,NON-IT,Trolley Bag,School Net,TB_034,18290111107
KYAN,NON-IT,Trolley Bag,School Net,TB_035,18080315003
KYAN,NON-IT,Trolley Bag,School Net,TB_036,18080306204
KYAN,NON-IT,Trolley Bag,School Net,TB_037,18080303304
KYAN,NON-IT,Trolley Bag,School Net,TB_038,18080213504
KYAN,NON-IT,Trolley Bag,School Net,TB_039,18080213802
KYAN,NON-IT,Trolley Bag,School Net,TB_040,18080221604
KYAN,NON-IT,Trolley Bag,School Net,TB_041,18080221103
KYAN,NON-IT,Trolley Bag,School Net,TB_042,18080206204
KYAN,NON-IT,Trolley Bag,School Net,TB_043,18080206305
KYAN,NON-IT,Trolley Bag,School Net,TB_044,18080113901
KYAN,NON-IT,Trolley Bag,School Net,TB_045,18080104504
KYAN,NON-IT,Trolley Bag,School Net,TB_046,18080108303
KYAN,NON-IT,Trolley Bag,School Net,TB_047,18130108901
KYAN,NON-IT,Trolley Bag,School Net,TB_048,18130243902
KYAN,NON-IT,Trolley Bag,School Net,TB_049,18130208402
