 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0001,18050409004
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0002,18050402504
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0003,18050201708
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0004,18050417504
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0005,18050411813
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0006,18050407605
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0007,18050204205
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0008,18050400108
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0009,18050402204
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0010,18050416802
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0011,18050403908
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0012,18050400509
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0013,18050408205
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0014,18050416602
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0015,18050200708
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0016,18050713703
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0017,18050406710
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0018,18050405303
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0019,18050414502
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0020,18050409702
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0021,18050418306
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0022,18050412105
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0023,18050702310
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0024,18050408404
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0025,18050402703
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0026,18050404804
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0027,18050418102
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0028,18050408902
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0029,18050401703
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0030,18050403805
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0031,18050415513
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0032,18050201305
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0033,18050406402
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0034,18050401302
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0035,18050200306
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0036,18050401403
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0037,18050404805
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0038,18050702809
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0039,18050406504
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0040,18050201711
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0041,18050409303
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0042,18050402207
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0043,18050400710
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0044,18050202008
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0045,18050412304
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0046,18050408002
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0047,18050400713
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0048,18050201709
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0049,18050205602
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0050,18050416302
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0051,18050415705
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0052,18050201117
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0053,18050406303
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0054,18050406004
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0055,18050200924
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0056,18050413509
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0057,18050402008
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0058,18050401706
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0059,18050205102
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0060,18050412204
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0061,18050415806
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0062,18050400105
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0063,18240210909
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0064,18240211808
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0065,18240200809
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0066,18240210812
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0067,18240203510
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0068,18240212504
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0069,18240204405
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0070,18240204908
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0071,18240208404
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0072,18240211105
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0073,18240211102
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0074,18240211206
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0075,18240206103
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0076,18240201104
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0077,18240204805
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0078,18240200503
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0079,18240211214
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0080,18240201606
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0081,18240209006
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0082,18240208704
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0083,18240207512
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0084,18240209504
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0085,18240207405
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0086,18240200114
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0087,18240202703
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0088,18240203907
IFP,IT hardware,External Speaker Set,Zebronics,ESP_0089,18240207207
