 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0001,18050409004
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0002,18050402504
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0003,18050201708
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0004,18050417504
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0005,18050411813
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0006,18050407605
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0007,18050204205
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0008,18050400108
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0009,18050402204
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0010,18050416802
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0011,18050403908
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0012,18050400509
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0013,18050408205
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0014,18050416602
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0015,18050200708
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0016,18050713703
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0017,18050406710
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0018,18050405303
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0019,18050414502
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0020,18050409702
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0021,18050418306
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0022,18050412105
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0023,18050702310
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0024,18050408404
IFP,NON-IT,Cabinet for Interactive Flat Panel,Cabinet,CNET_0025,18050402703
