 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050409004,18050409004
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050402504,18050402504
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050201708,18050201708
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050417504,18050417504
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050411813,18050411813
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050407605,18050407605
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050204205,18050204205
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050400108,18050400108
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050402204,18050402204
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050416802,18050416802
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050403908,18050403908
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050400509,18050400509
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050408205,18050408205
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050416602,18050416602
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050200708,18050200708
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050713703,18050713703
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050406710,18050406710
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050405303,18050405303
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050414502,18050414502
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050409702,18050409702
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050418306,18050418306
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050412105,18050412105
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050702310,18050702310
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050408404,18050408404
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050402703,18050402703
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050404804,18050404804
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050418102,18050418102
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050408902,18050408902
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050401703,18050401703
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050403805,18050403805
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050415513,18050415513
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050201305,18050201305
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050406402,18050406402
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050401302,18050401302
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050200306,18050200306
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050401403,18050401403
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050404805,18050404805
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050702809,18050702809
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050406504,18050406504
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050201711,18050201711
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050409303,18050409303
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050402207,18050402207
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050400710,18050400710
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050202008,18050202008
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050412304,18050412304
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050408002,18050408002
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050400713,18050400713
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050201709,18050201709
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050205602,18050205602
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050416302,18050416302
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050415705,18050415705
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050201117,18050201117
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050406303,18050406303
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050406004,18050406004
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050200924,18050200924
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050413509,18050413509
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050402008,18050402008
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050401706,18050401706
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050205102,18050205102
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050412204,18050412204
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050415806,18050415806
IFP,Network,SIM,Airtel/Vodafone,SIM1-18050400105,18050400105
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240210909,18240210909
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211808,18240211808
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240200809,18240200809
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240210812,18240210812
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240203510,18240203510
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240212504,18240212504
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240204405,18240204405
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240204908,18240204908
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240208404,18240208404
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211105,18240211105
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211102,18240211102
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211206,18240211206
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240206103,18240206103
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240201104,18240201104
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240204805,18240204805
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240200503,18240200503
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211214,18240211214
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240201606,18240201606
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240209006,18240209006
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240208704,18240208704
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240207512,18240207512
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240209504,18240209504
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240207405,18240207405
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240200114,18240200114
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240202703,18240202703
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240203907,18240203907
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240207207,18240207207
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240203407,18240203407
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240206402,18240206402
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240200307,18240200307
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240212207,18240212207
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211506,18240211506
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240201003,18240201003
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211516,18240211516
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240203406,18240203406
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240206104,18240206104
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240211809,18240211809
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240204105,18240204105
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240205308,18240205308
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240210811,18240210811
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240210319,18240210319
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240208210,18240208210
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240209506,18240209506
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240210806,18240210806
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240207210,18240207210
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240207206,18240207206
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240206007,18240206007
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240400202,18240400202
IFP,Network,SIM,Airtel/Vodafone,SIM1-18240403703,18240403703
