 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274002603,18050402804
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003730,18050400711
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003947,18050411903
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000165,18240401901
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000148,18050610705
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2000515,18050606402
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000174,18050210403
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003470,18050210304
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000044,18050207805
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000190,18050514403
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003766,18050510404
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003727,18050104925
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000202,18050112704
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000205,18050304001
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274000201,18050306106
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003949,18280603602
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003825,18280603203
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274002404,18280527901
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B276004282,18280733902
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2004684,18040416108
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B274002511,18040306801
KYAN,IT hardware,Wi-Fi Router,TPLINK,22234B3006118,18040305602
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003845,18210106902
KYAN,IT hardware,Wi-Fi Router,TPLINK,22234B3000338,18210111601
KYAN,IT hardware,Wi-Fi Router,TPLINK,222A111000232,18210111805
KYAN,IT hardware,Wi-Fi Router,TPLINK,22234B3002467,18210132902
KYAN,IT hardware,Wi-Fi Router,TPLINK,222B0W2003912,18210215505
