 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_001,18050402804
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_002,18050400711
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_003,18050411903
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_004,18240401901
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_005,18050610705
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_006,18050606402
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_007,18050210403
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_008,18050210304
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_009,18050207805
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_010,18050514403
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_011,18050510404
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_012,18050104925
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_013,18050112704
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_014,18050304001
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_015,18050306106
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_016,18280603602
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_017,18280603203
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_018,18280527901
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_019,18280733902
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_020,18040416108
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_021,18040306801
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_022,18040305602
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_023,18210106902
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_024,18210111601
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_025,18210111805
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_026,18210132902
KYAN,NON-IT,Trolley Table,M S Enterprise,TS_027,18210215505
