 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0001,18050409004
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0002,18050402504
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0003,18050201708
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0004,18050417504
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0005,18050411813
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0006,18050407605
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0007,18050204205
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0008,18050400108
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0009,18050402204
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0010,18050416802
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0011,18050403908
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0012,18050400509
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0013,18050408205
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0014,18050416602
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0015,18050200708
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0016,18050713703
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0017,18050406710
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0018,18050405303
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0019,18050414502
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0020,18050409702
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0021,18050418306
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0022,18050412105
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0023,18050702310
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0024,18050408404
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0025,18050402703
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0026,18050404804
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0027,18050418102
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0028,18050408902
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0029,18050401703
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0030,18050403805
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0031,18050415513
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0032,18050201305
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0033,18050406402
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0034,18050401302
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0035,18050200306
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0036,18050401403
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0037,18050404805
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0038,18050702809
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0039,18050406504
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0040,18050201711
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0041,18050409303
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0042,18050402207
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0043,18050400710
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0044,18050202008
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0045,18050412304
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0046,18050408002
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0047,18050400713
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0048,18050201709
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0049,18050205602
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0050,18050416302
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0051,18050415705
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0052,18050201117
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0053,18050406303
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0054,18050406004
IFP,NON-IT,Metal Rack for Batteries,Metal Rack ,MRB_0055,18050200924
