 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,8312230650334,18240201104
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503720,18240204805
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503234,18240200503
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,67894990556675,18240211214
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503216,18240201606
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502953,18240209006
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,545755678822,18240208704
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503736,18240207512
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504312,18240209504
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503750,18240207405
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502775,18240200114
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503308,18240202703
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503112,18240203907
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503019,18240207207
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503113,18240203407
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503351,18240206402
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504063,18240200307
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502761,18240212207
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,68267005819838,18240211506
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503320,18240201003
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502928,18240211516
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503031,18240203406
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503122,18240206104
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503358,18240211809
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504745,18240204105
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503141,18240205308
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503375,18240210811
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,831223065029,18240210319
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503034,18240208210
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502937,18240209506
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306503025,18240210806
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122306502945,18240207210
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305505010,18240207206
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504703,18240206007
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27053,18240400202
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,79024181674464,18240403703
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26831,18240401003
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27092,18240418003
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26804,18240417104
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504361,18240418206
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26838,18240406905
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-26887,18240402808
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,80711416774559,18240409502
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23D-27338,18240413703
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305505074,18240401502
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,75878446449209,18240406202
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,83122305504409,18240400709
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G26756,18240416512
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,97287108743137,18240416506
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27182,18240406110
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,28231342519957,18240407912
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27170,18240400507
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27070,18240400116
IFP,IT hardware,1 KVA Online UPS,DS SYSTEMS,DS23G-27041,18240400111
