 Project Type,Category,Sub Category,Model,Serial No.,UDISE Code
KYAN,NON-IT,Almirah,Steel Almirah,SA_001,18050402804
KYAN,NON-IT,Almirah,Steel Almirah,SA_002,18050400711
KYAN,NON-IT,Almirah,Steel Almirah,SA_003,18050411903
KYAN,NON-IT,Almirah,Steel Almirah,SA_004,18240401901
KYAN,NON-IT,Almirah,Steel Almirah,SA_005,18050610705
KYAN,NON-IT,Almirah,Steel Almirah,SA_006,18050606402
KYAN,NON-IT,Almirah,Steel Almirah,SA_007,18050210403
KYAN,NON-IT,Almirah,Steel Almirah,SA_008,18050210304
KYAN,NON-IT,Almirah,Steel Almirah,SA_009,18050207805
KYAN,NON-IT,Almirah,Steel Almirah,SA_010,18050514403
KYAN,NON-IT,Almirah,Steel Almirah,SA_011,18050510404
KYAN,NON-IT,Almirah,Steel Almirah,SA_012,18050104925
KYAN,NON-IT,Almirah,Steel Almirah,SA_013,18050112704
KYAN,NON-IT,Almirah,Steel Almirah,SA_014,18050304001
KYAN,NON-IT,Almirah,Steel Almirah,SA_015,18050306106
KYAN,NON-IT,Almirah,Steel Almirah,SA_016,18280603602
KYAN,NON-IT,Almirah,Steel Almirah,SA_017,18280603203
KYAN,NON-IT,Almirah,Steel Almirah,SA_018,18280527901
KYAN,NON-IT,Almirah,Steel Almirah,SA_019,18280733902
KYAN,NON-IT,Almirah,Steel Almirah,SA_020,18040416108
KYAN,NON-IT,Almirah,Steel Almirah,SA_021,18040306801
KYAN,NON-IT,Almirah,Steel Almirah,SA_022,18040305602
KYAN,NON-IT,Almirah,Steel Almirah,SA_023,18210106902
KYAN,NON-IT,Almirah,Steel Almirah,SA_024,18210111601
KYAN,NON-IT,Almirah,Steel Almirah,SA_025,18210111805
KYAN,NON-IT,Almirah,Steel Almirah,SA_026,18210132902
KYAN,NON-IT,Almirah,Steel Almirah,SA_027,18210215505
KYAN,NON-IT,Almirah,Steel Almirah,SA_028,18210312402
KYAN,NON-IT,Almirah,Steel Almirah,SA_029,18210410006
KYAN,NON-IT,Almirah,Steel Almirah,SA_030,18210410605
KYAN,NON-IT,Almirah,Steel Almirah,SA_031,18210614403
KYAN,NON-IT,Almirah,Steel Almirah,SA_032,18210709001
KYAN,NON-IT,Almirah,Steel Almirah,SA_033,18210725701
KYAN,NON-IT,Almirah,Steel Almirah,SA_034,18290111107
KYAN,NON-IT,Almirah,Steel Almirah,SA_035,18080315003
KYAN,NON-IT,Almirah,Steel Almirah,SA_036,18080306204
KYAN,NON-IT,Almirah,Steel Almirah,SA_037,18080303304
KYAN,NON-IT,Almirah,Steel Almirah,SA_038,18080213504
KYAN,NON-IT,Almirah,Steel Almirah,SA_039,18080213802
KYAN,NON-IT,Almirah,Steel Almirah,SA_040,18080221604
KYAN,NON-IT,Almirah,Steel Almirah,SA_041,18080221103
KYAN,NON-IT,Almirah,Steel Almirah,SA_042,18080206204
KYAN,NON-IT,Almirah,Steel Almirah,SA_043,18080206305
KYAN,NON-IT,Almirah,Steel Almirah,SA_044,18080113901
KYAN,NON-IT,Almirah,Steel Almirah,SA_045,18080104504
KYAN,NON-IT,Almirah,Steel Almirah,SA_046,18080108303
KYAN,NON-IT,Almirah,Steel Almirah,SA_047,18130108901
KYAN,NON-IT,Almirah,Steel Almirah,SA_048,18130243902
KYAN,NON-IT,Almirah,Steel Almirah,SA_049,18130208402
KYAN,NON-IT,Almirah,Steel Almirah,SA_050,18130206902
KYAN,NON-IT,Almirah,Steel Almirah,SA_051,18130201702
KYAN,NON-IT,Almirah,Steel Almirah,SA_052,18130251502
KYAN,NON-IT,Almirah,Steel Almirah,SA_053,18130253502
KYAN,NON-IT,Almirah,Steel Almirah,SA_054,18130288503
KYAN,NON-IT,Almirah,Steel Almirah,SA_055,18130237002
KYAN,NON-IT,Almirah,Steel Almirah,SA_056,18130246001
KYAN,NON-IT,Almirah,Steel Almirah,SA_057,18020203102
KYAN,NON-IT,Almirah,Steel Almirah,SA_058,18020207505
KYAN,NON-IT,Almirah,Steel Almirah,SA_059,18020417302
KYAN,NON-IT,Almirah,Steel Almirah,SA_060,18020401907
KYAN,NON-IT,Almirah,Steel Almirah,SA_061,18020422103
KYAN,NON-IT,Almirah,Steel Almirah,SA_062,18020422604
KYAN,NON-IT,Almirah,Steel Almirah,SA_063,18020401902
KYAN,NON-IT,Almirah,Steel Almirah,SA_064,18020334605
KYAN,NON-IT,Almirah,Steel Almirah,SA_065,18020333009
KYAN,NON-IT,Almirah,Steel Almirah,SA_066,18020315403
KYAN,NON-IT,Almirah,Steel Almirah,SA_067,18020338903
KYAN,NON-IT,Almirah,Steel Almirah,SA_068,18020317001
KYAN,NON-IT,Almirah,Steel Almirah,SA_069,18020332703
KYAN,NON-IT,Almirah,Steel Almirah,SA_070,18020334608
KYAN,NON-IT,Almirah,Steel Almirah,SA_071,18020336002
KYAN,NON-IT,Almirah,Steel Almirah,SA_072,18020339402
KYAN,NON-IT,Almirah,Steel Almirah,SA_073,18020332702
KYAN,NON-IT,Almirah,Steel Almirah,SA_074,18020300206
KYAN,NON-IT,Almirah,Steel Almirah,SA_075,18020338409
KYAN,NON-IT,Almirah,Steel Almirah,SA_076,18150106005
KYAN,NON-IT,Almirah,Steel Almirah,SA_077,18150225302
KYAN,NON-IT,Almirah,Steel Almirah,SA_078,18150508002
KYAN,NON-IT,Almirah,Steel Almirah,SA_079,18200113902
KYAN,NON-IT,Almirah,Steel Almirah,SA_080,18200105402
KYAN,NON-IT,Almirah,Steel Almirah,SA_081,18200103702
KYAN,NON-IT,Almirah,Steel Almirah,SA_082,18200204601
KYAN,NON-IT,Almirah,Steel Almirah,SA_083,18200204703
KYAN,NON-IT,Almirah,Steel Almirah,SA_084,18200212701
KYAN,NON-IT,Almirah,Steel Almirah,SA_085,18200205802
KYAN,NON-IT,Almirah,Steel Almirah,SA_086,18200203601
KYAN,NON-IT,Almirah,Steel Almirah,SA_087,18200311409
KYAN,NON-IT,Almirah,Steel Almirah,SA_088,18200302005
KYAN,NON-IT,Almirah,Steel Almirah,SA_089,18200316002
KYAN,NON-IT,Almirah,Steel Almirah,SA_090,18200308401
KYAN,NON-IT,Almirah,Steel Almirah,SA_091,18200612002
KYAN,NON-IT,Almirah,Steel Almirah,SA_092,18200504910
KYAN,NON-IT,Almirah,Steel Almirah,SA_093,18030422402
KYAN,NON-IT,Almirah,Steel Almirah,SA_094,18030414203
KYAN,NON-IT,Almirah,Steel Almirah,SA_095,18030220201
KYAN,NON-IT,Almirah,Steel Almirah,SA_096,18030204102
KYAN,NON-IT,Almirah,Steel Almirah,SA_097,18030218202
KYAN,NON-IT,Almirah,Steel Almirah,SA_098,18030221801
KYAN,NON-IT,Almirah,Steel Almirah,SA_099,18030207702
KYAN,NON-IT,Almirah,Steel Almirah,SA_100,18030221504
KYAN,NON-IT,Almirah,Steel Almirah,SA_101,18030100503
KYAN,NON-IT,Almirah,Steel Almirah,SA_102,18030109701
KYAN,NON-IT,Almirah,Steel Almirah,SA_103,18180111408
KYAN,NON-IT,Almirah,Steel Almirah,SA_104,18180104502
KYAN,NON-IT,Almirah,Steel Almirah,SA_105,18180109202
KYAN,NON-IT,Almirah,Steel Almirah,SA_106,18180109305
KYAN,NON-IT,Almirah,Steel Almirah,SA_107,18180109706
KYAN,NON-IT,Almirah,Steel Almirah,SA_108,18180110505
KYAN,NON-IT,Almirah,Steel Almirah,SA_109,18180100602
KYAN,NON-IT,Almirah,Steel Almirah,SA_110,18180108208
KYAN,NON-IT,Almirah,Steel Almirah,SA_111,18180109205
KYAN,NON-IT,Almirah,Steel Almirah,SA_112,18180104002
KYAN,NON-IT,Almirah,Steel Almirah,SA_113,18180232303
KYAN,NON-IT,Almirah,Steel Almirah,SA_114,18180229203
KYAN,NON-IT,Almirah,Steel Almirah,SA_115,18180200404
KYAN,NON-IT,Almirah,Steel Almirah,SA_116,18180230502
KYAN,NON-IT,Almirah,Steel Almirah,SA_117,18180226002
KYAN,NON-IT,Almirah,Steel Almirah,SA_118,18180211004
KYAN,NON-IT,Almirah,Steel Almirah,SA_119,18180221903
KYAN,NON-IT,Almirah,Steel Almirah,SA_120,18180205607
KYAN,NON-IT,Almirah,Steel Almirah,SA_121,18180218904
KYAN,NON-IT,Almirah,Steel Almirah,SA_122,18180241104
KYAN,NON-IT,Almirah,Steel Almirah,SA_123,18180245901
KYAN,NON-IT,Almirah,Steel Almirah,SA_124,18180230804
KYAN,NON-IT,Almirah,Steel Almirah,SA_125,18180230202
KYAN,NON-IT,Almirah,Steel Almirah,SA_126,18180208705
KYAN,NON-IT,Almirah,Steel Almirah,SA_127,18180217103
KYAN,NON-IT,Almirah,Steel Almirah,SA_128,18180208807
KYAN,NON-IT,Almirah,Steel Almirah,SA_129,18180242505
KYAN,NON-IT,Almirah,Steel Almirah,SA_130,18180249302
KYAN,NON-IT,Almirah,Steel Almirah,SA_131,18180301004
KYAN,NON-IT,Almirah,Steel Almirah,SA_132,18180312003
KYAN,NON-IT,Almirah,Steel Almirah,SA_133,18180301007
KYAN,NON-IT,Almirah,Steel Almirah,SA_134,18180411702
KYAN,NON-IT,Almirah,Steel Almirah,SA_135,18180409801
KYAN,NON-IT,Almirah,Steel Almirah,SA_136,18180404003
KYAN,NON-IT,Almirah,Steel Almirah,SA_137,18180401201
KYAN,NON-IT,Almirah,Steel Almirah,SA_138,18180400204
KYAN,NON-IT,Almirah,Steel Almirah,SA_139,18180406206
KYAN,NON-IT,Almirah,Steel Almirah,SA_140,18180400213
KYAN,NON-IT,Almirah,Steel Almirah,SA_141,18180400203
KYAN,NON-IT,Almirah,Steel Almirah,SA_142,18180400212
KYAN,NON-IT,Almirah,Steel Almirah,SA_143,18180405012
KYAN,NON-IT,Almirah,Steel Almirah,SA_144,18180402803
KYAN,NON-IT,Almirah,Steel Almirah,SA_145,18230122901
KYAN,NON-IT,Almirah,Steel Almirah,SA_146,18230118404
KYAN,NON-IT,Almirah,Steel Almirah,SA_147,18230105907
KYAN,NON-IT,Almirah,Steel Almirah,SA_148,18230121601
KYAN,NON-IT,Almirah,Steel Almirah,SA_149,18230104103
KYAN,NON-IT,Almirah,Steel Almirah,SA_150,18230207609
KYAN,NON-IT,Almirah,Steel Almirah,SA_151,18230317001
KYAN,NON-IT,Almirah,Steel Almirah,SA_152,18230305427
KYAN,NON-IT,Almirah,Steel Almirah,SA_153,18300319404
KYAN,NON-IT,Almirah,Steel Almirah,SA_154,18170108901
KYAN,NON-IT,Almirah,Steel Almirah,SA_155,18170211101
KYAN,NON-IT,Almirah,Steel Almirah,SA_156,18170219606
KYAN,NON-IT,Almirah,Steel Almirah,SA_157,18170326102
KYAN,NON-IT,Almirah,Steel Almirah,SA_158,18170305513
KYAN,NON-IT,Almirah,Steel Almirah,SA_159,18170310202
KYAN,NON-IT,Almirah,Steel Almirah,SA_160,18170316201
KYAN,NON-IT,Almirah,Steel Almirah,SA_161,18170316902
KYAN,NON-IT,Almirah,Steel Almirah,SA_162,18170307907
KYAN,NON-IT,Almirah,Steel Almirah,SA_163,18170502005
KYAN,NON-IT,Almirah,Steel Almirah,SA_164,18170502405
KYAN,NON-IT,Almirah,Steel Almirah,SA_165,18170515002
KYAN,NON-IT,Almirah,Steel Almirah,SA_166,18170604007
KYAN,NON-IT,Almirah,Steel Almirah,SA_167,18170617402
KYAN,NON-IT,Almirah,Steel Almirah,SA_168,18271100543
KYAN,NON-IT,Almirah,Steel Almirah,SA_169,18271102619
KYAN,NON-IT,Almirah,Steel Almirah,SA_170,18271100828
KYAN,NON-IT,Almirah,Steel Almirah,SA_171,18271100536
KYAN,NON-IT,Almirah,Steel Almirah,SA_172,18271101736
KYAN,NON-IT,Almirah,Steel Almirah,SA_173,18060201104
KYAN,NON-IT,Almirah,Steel Almirah,SA_174,18060210701
KYAN,NON-IT,Almirah,Steel Almirah,SA_175,18060203303
KYAN,NON-IT,Almirah,Steel Almirah,SA_176,18060210402
KYAN,NON-IT,Almirah,Steel Almirah,SA_177,18060322105
KYAN,NON-IT,Almirah,Steel Almirah,SA_178,18060505405
KYAN,NON-IT,Almirah,Steel Almirah,SA_179,18060706102
KYAN,NON-IT,Almirah,Steel Almirah,SA_180,18060606102
KYAN,NON-IT,Almirah,Steel Almirah,SA_181,18061005508
KYAN,NON-IT,Almirah,Steel Almirah,SA_182,18061001001
KYAN,NON-IT,Almirah,Steel Almirah,SA_183,18060907908
KYAN,NON-IT,Almirah,Steel Almirah,SA_184,18190206203
KYAN,NON-IT,Almirah,Steel Almirah,SA_185,18190215201
KYAN,NON-IT,Almirah,Steel Almirah,SA_186,18190203504
KYAN,NON-IT,Almirah,Steel Almirah,SA_187,18190202904
KYAN,NON-IT,Almirah,Steel Almirah,SA_188,18190210012
KYAN,NON-IT,Almirah,Steel Almirah,SA_189,18190208319
KYAN,NON-IT,Almirah,Steel Almirah,SA_190,18190202603
KYAN,NON-IT,Almirah,Steel Almirah,SA_191,18190422001
KYAN,NON-IT,Almirah,Steel Almirah,SA_192,18190421905
KYAN,NON-IT,Almirah,Steel Almirah,SA_193,18190416903
KYAN,NON-IT,Almirah,Steel Almirah,SA_194,18190414404
KYAN,NON-IT,Almirah,Steel Almirah,SA_195,18190415204
KYAN,NON-IT,Almirah,Steel Almirah,SA_196,18190408603
KYAN,NON-IT,Almirah,Steel Almirah,SA_197,18190412003
KYAN,NON-IT,Almirah,Steel Almirah,SA_198,18190403304
KYAN,NON-IT,Almirah,Steel Almirah,SA_199,18190408605
KYAN,NON-IT,Almirah,Steel Almirah,SA_200,18190412702
KYAN,NON-IT,Almirah,Steel Almirah,SA_201,18190407603
KYAN,NON-IT,Almirah,Steel Almirah,SA_202,18190407307
KYAN,NON-IT,Almirah,Steel Almirah,SA_203,18190421601
KYAN,NON-IT,Almirah,Steel Almirah,SA_204,18190421402
KYAN,NON-IT,Almirah,Steel Almirah,SA_205,18190516801
KYAN,NON-IT,Almirah,Steel Almirah,SA_206,18190501503
KYAN,NON-IT,Almirah,Steel Almirah,SA_207,18190517001
KYAN,NON-IT,Almirah,Steel Almirah,SA_208,18190519501
KYAN,NON-IT,Almirah,Steel Almirah,SA_209,18190507802
KYAN,NON-IT,Almirah,Steel Almirah,SA_210,18190505302
KYAN,NON-IT,Almirah,Steel Almirah,SA_211,18190501407
KYAN,NON-IT,Almirah,Steel Almirah,SA_212,18190517101
KYAN,NON-IT,Almirah,Steel Almirah,SA_213,18190601238
KYAN,NON-IT,Almirah,Steel Almirah,SA_214,18190606302
KYAN,NON-IT,Almirah,Steel Almirah,SA_215,18190917909
KYAN,NON-IT,Almirah,Steel Almirah,SA_216,18190906202
KYAN,NON-IT,Almirah,Steel Almirah,SA_217,18220204504
KYAN,NON-IT,Almirah,Steel Almirah,SA_218,18220319002
KYAN,NON-IT,Almirah,Steel Almirah,SA_219,18220323305
KYAN,NON-IT,Almirah,Steel Almirah,SA_220,18220310303
KYAN,NON-IT,Almirah,Steel Almirah,SA_221,18220310021
KYAN,NON-IT,Almirah,Steel Almirah,SA_222,18220334304
KYAN,NON-IT,Almirah,Steel Almirah,SA_223,18220314208
KYAN,NON-IT,Almirah,Steel Almirah,SA_224,18220409307
KYAN,NON-IT,Almirah,Steel Almirah,SA_225,18220500101
KYAN,NON-IT,Almirah,Steel Almirah,SA_226,18220521106
KYAN,NON-IT,Almirah,Steel Almirah,SA_227,18120202907
KYAN,NON-IT,Almirah,Steel Almirah,SA_228,18120405912
KYAN,NON-IT,Almirah,Steel Almirah,SA_229,18120406215
KYAN,NON-IT,Almirah,Steel Almirah,SA_230,18120416008
KYAN,NON-IT,Almirah,Steel Almirah,SA_231,18120516615
KYAN,NON-IT,Almirah,Steel Almirah,SA_232,18120518504
KYAN,NON-IT,Almirah,Steel Almirah,SA_233,18120505001
KYAN,NON-IT,Almirah,Steel Almirah,SA_234,18120516107
KYAN,NON-IT,Almirah,Steel Almirah,SA_235,18120500107
KYAN,NON-IT,Almirah,Steel Almirah,SA_236,18120516303
KYAN,NON-IT,Almirah,Steel Almirah,SA_237,18120516502
KYAN,NON-IT,Almirah,Steel Almirah,SA_238,18120514303
KYAN,NON-IT,Almirah,Steel Almirah,SA_239,18120516410
KYAN,NON-IT,Almirah,Steel Almirah,SA_240,18120617205
KYAN,NON-IT,Almirah,Steel Almirah,SA_241,18120602309
